gender;marital_status;nationality;course;scholarship;status
Male;Single;Portuguese;Animation and Multimedia Design;No;Dropout
Male;Single;Portuguese;Tourism;No;Graduate
Male;Single;Portuguese;Communication Design;No;Dropout
Female;Single;Portuguese;Journalism and Communication;No;Graduate
Female;Married;Portuguese;Social Service (evening attendance);No;Graduate
Male;Married;Portuguese;Management (evening attendance);No;Graduate
Female;Single;Portuguese;Nursing;Yes;Graduate
Male;Single;Portuguese;Tourism;No;Dropout
Female;Single;Romanian;Social Service;Yes;Graduate
Female;Single;Portuguese;Social Service;No;Dropout
Female;Single;Portuguese;Advertising and Marketing Management;No;Graduate
Female;Single;Portuguese;Nursing;Yes;Graduate
Female;Single;Portuguese;Basic Education;No;Dropout
Female;Single;Portuguese;Tourism;Yes;Graduate
Female;Single;Portuguese;Veterinary Nursing;Yes;Graduate
Female;Single;Portuguese;Journalism and Communication;No;Dropout
Female;Single;Portuguese;Social Service;No;Enrolled
Female;Single;Portuguese;Nursing;No;Graduate
Female;Single;Portuguese;Equinculture;No;Graduate
Female;Single;Portuguese;Basic Education;No;Enrolled
Female;Single;Portuguese;Animation and Multimedia Design;Yes;Graduate
Female;Single;Portuguese;Oral Hygiene;No;Enrolled
Female;Single;Portuguese;Nursing;No;Graduate
Female;Single;Portuguese;Advertising and Marketing Management;Yes;Graduate
Female;Single;Portuguese;Nursing;No;Graduate
Female;Single;Portuguese;Social Service;Yes;Enrolled
Female;Single;Portuguese;Social Service;No;Graduate
Female;Single;Portuguese;Veterinary Nursing;No;Enrolled
Female;Single;Portuguese;Management;No;Graduate
Male;Single;Portuguese;Nursing;No;Enrolled
Male;Single;Portuguese;Agronomy;No;Enrolled
Male;Single;Portuguese;Communication Design;No;Graduate
Male;Single;Portuguese;Management;No;Enrolled
Female;Single;Portuguese;Social Service (evening attendance);No;Graduate
Male;Single;Portuguese;Management (evening attendance);No;Graduate
Male;Single;Portuguese;Biofuel Production Technologies;No;Dropout
Male;Single;Portuguese;Informatics Engineering;No;Dropout
Female;Single;Portuguese;Management;No;Dropout
Female;Divorced;Portuguese;Management (evening attendance);No;Graduate
Female;Single;Spanish;Equinculture;No;Dropout
Female;Single;Portuguese;Journalism and Communication;No;Dropout
Female;Single;Portuguese;Management;No;Graduate
Female;Single;Portuguese;Nursing;No;Graduate
